Designator,Mid X,Mid Y,Rotation,Layer
B1,189.75,-74.85,0.0,bottom
D1,93.622778,-73.997501,0.0,top
D10,131.722778,-81.617501,0.0,top
D11,131.722778,-100.667501,0.0,top
D12,73.996875,-74.0,0.0,top
D13,150.772778,-64.94875,0.0,top
D14,150.772778,-83.998751,0.0,top
D15,150.772778,-103.048751,0.0,top
D16,148.792778,-120.92,0.0,top
D17,169.822778,-67.33,0.0,top
D18,169.822778,-86.380001,0.0,top
D19,169.822778,-105.430001,0.0,top
D2,93.622778,-93.047501,0.0,top
D20,170.3803,-121.637584,350.0,top
D21,188.093438,-90.64,0.0,top
D22,188.133438,-110.13,0.0,top
D23,192.129726,-126.14981,340.0,top
D3,93.622778,-112.097501,0.0,top
D4,74.073438,-112.0,0.0,top
D5,112.672778,-67.33,0.0,top
D6,112.672778,-86.380001,0.0,top
D7,112.672778,-105.430001,0.0,top
D8,73.946875,-93.0,0.0,top
D9,131.722778,-62.567501,0.0,top
SW1,95.7,-69.005,180.0,top
SW10,133.8,-76.355,180.0,top
SW11,133.8,-95.405,180.0,top
SW12,76.65,-69.03,180.0,top
SW13,152.85,-59.805249,180.0,top
SW14,152.85,-78.85525,180.0,top
SW15,152.85,-97.90525,180.0,top
SW16,156.867,-124.280251,0.0,top
SW17,171.9,-62.305499,180.0,top
SW18,171.9,-81.3555,180.0,top
SW19,171.9,-100.4055,180.0,top
SW2,95.7,-88.055,180.0,top
SW20,178.20034,-126.019949,351.0,top
SW21,190.99,-85.89,180.0,top
SW22,190.95,-104.93,180.0,top
SW23,199.272833,-131.574401,340.0,top
SW24,200.05,-110.4,90.0,bottom
SW3,95.7,-107.105,180.0,top
SW4,76.65,-107.13,180.0,top
SW5,114.75,-62.005499,180.0,top
SW6,114.75,-81.0555,180.0,top
SW7,114.75,-100.1055,180.0,top
SW8,76.65,-88.08,180.0,top
SW9,133.8,-57.305,180.0,top
